model,dci,tier,culture,size,release,provider,n_valid,weight_semiotic,weight_narrative,weight_ideological,weight_experiential,weight_social,weight_economic,weight_cultural,weight_temporal
fireworks_glm,0.2857,1,chinese,undisclosed,2025-12,Fireworks,28,10.4,8.5,12.1,20.2,9.2,18.2,13.5,7.9
grok,0.3,1,western,undisclosed,2025-12,xAI,21,13.4,11.1,11.7,19.1,11.7,16.6,9.9,6.6
claude,0.3129,1,western,undisclosed,2025-10,Anthropic,21,12.0,8.3,12.8,18.2,11.0,19.3,9.8,8.6
gemini,0.3248,1,western,undisclosed,2025-12,Google,21,13.9,9.2,9.6,16.6,10.5,18.6,11.3,10.3
cerebras_qwen3,0.3255,1,chinese,235B MoE,2025-06,Cerebras,21,14.6,9.9,10.7,18.0,10.8,17.6,7.1,10.2
sambanova_deepseek,0.3375,1,western,671B MoE,2025-06,SambaNova,4,13.8,8.8,10.0,20.0,8.8,20.0,8.8,10.0
yandexgpt_local,0.3402,2,russian,8B,2025-03,Ollama,21,15.5,10.5,12.6,22.1,11.2,20.0,5.0,7.4
deepseek,0.3405,1,chinese,671B MoE,2025-03,DeepSeek,21,11.9,11.2,10.5,15.7,8.8,22.1,11.9,7.9
groq_allam,0.3499,2,arabic,7B,2025-01,Groq,19,18.4,16.1,11.1,16.3,10.0,18.7,5.8,9.7
gigachat_api,0.3538,1,russian,undisclosed,2026-02,Sber,13,13.8,11.2,10.0,19.2,8.8,21.5,6.5,8.8
groq_kimi,0.3543,1,chinese,undisclosed,2025-06,Groq,21,11.4,9.5,8.6,19.8,9.9,24.0,7.0,9.9
sarvam,0.3618,1,indian,105B MoE,2026-02,Sarvam AI,13,13.4,9.3,5.6,19.8,11.9,23.1,7.7,9.9
gpt,0.3619,2,western,undisclosed,2024-07,OpenAI,21,16.7,11.7,10.0,19.8,10.2,19.5,5.0,7.1
groq_llama33,0.3619,1,western,70B,2024-12,Groq,21,11.4,7.4,9.0,19.4,10.2,24.8,6.6,11.2
gemma4_local,0.3714,2,western,27B MoE,2025-06,Ollama,21,14.9,9.4,8.7,17.9,10.6,22.9,7.6,9.8
swallow_local,0.3737,2,japanese,8B,2024-12,Ollama,21,18.4,11.0,6.2,20.2,9.0,18.3,5.4,9.6
gigachat_local,0.378,2,russian,undisclosed,2026-03,Ollama,21,11.2,8.2,6.4,21.2,11.1,25.3,5.5,7.7
gptoss_swallow,0.3805,1,japanese,20B,2026-02,Yandex,27,13.3,9.1,7.3,20.0,10.5,24.8,5.6,9.5
yandexgpt_pro,0.381,1,russian,undisclosed,2026-02,Yandex,21,14.3,7.8,9.8,20.8,10.1,23.8,7.2,6.2
qwen3_local,0.385,2,chinese,30B,2025-06,Ollama,20,13.8,9.8,7.2,20.0,9.8,24.8,5.5,9.2
exaone_local,0.3934,1,korean,32B,2026-02,Ollama,21,15.7,9.8,6.0,20.5,10.0,23.8,4.8,10.0
dashscope_qwen_plus,0.4,1,chinese,undisclosed,2025-12,DashScope,3,15.0,10.0,5.0,20.0,10.0,25.0,5.0,10.0
jais_local,0.4038,1,arabic,70B,2024-03,Ollama,21,21.9,10.5,7.4,15.5,10.7,19.0,8.3,8.1
