model,rate_condition,rate_bits,brand,n_valid,mean_distortion,std_distortion
cerebras_qwen3,R1,26,Erewhon,5,0.1151,0.0
cerebras_qwen3,R1,26,Hermes,5,0.0893,0.0134
cerebras_qwen3,R1,26,IKEA,5,0.0683,0.0089
cerebras_qwen3,R1,26,Patagonia,5,0.0876,0.0
cerebras_qwen3,R1,26,Tesla,5,0.1407,0.0217
cerebras_qwen3,R2,19,Erewhon,5,0.0996,0.0031
cerebras_qwen3,R2,19,Hermes,5,0.092,0.0
cerebras_qwen3,R2,19,IKEA,5,0.0628,0.0
cerebras_qwen3,R2,19,Patagonia,5,0.0587,0.0177
cerebras_qwen3,R2,19,Tesla,5,0.1202,0.0
cerebras_qwen3,R3,13,Erewhon,5,0.1383,0.0
cerebras_qwen3,R3,13,Hermes,5,0.0851,0.0
cerebras_qwen3,R3,13,IKEA,5,0.122,0.0
cerebras_qwen3,R3,13,Patagonia,5,0.0689,0.0093
cerebras_qwen3,R3,13,Tesla,5,0.1534,0.0
cerebras_qwen3,R4,8,Erewhon,5,0.1677,0.0587
cerebras_qwen3,R4,8,Hermes,5,0.155,0.0
cerebras_qwen3,R4,8,IKEA,5,0.1071,0.0
cerebras_qwen3,R4,8,Patagonia,5,0.116,0.0
cerebras_qwen3,R4,8,Tesla,5,0.3182,0.0
cerebras_qwen3,R5,3,Erewhon,5,0.8283,0.0
cerebras_qwen3,R5,3,Hermes,5,0.8574,0.0042
cerebras_qwen3,R5,3,IKEA,5,0.8393,0.0
cerebras_qwen3,R5,3,Patagonia,5,0.8376,0.0
cerebras_qwen3,R5,3,Tesla,5,0.8068,0.0
claude,R1,26,Erewhon,5,0.1852,0.01
claude,R1,26,Hermes,5,0.2029,0.0179
claude,R1,26,IKEA,5,0.151,0.0089
claude,R1,26,Patagonia,5,0.139,0.011
claude,R1,26,Tesla,5,0.1185,0.0048
claude,R2,19,Erewhon,5,0.1013,0.0057
claude,R2,19,Hermes,5,0.0543,0.0
claude,R2,19,IKEA,5,0.0569,0.0075
claude,R2,19,Patagonia,5,0.0527,0.0
claude,R2,19,Tesla,5,0.132,0.0099
claude,R3,13,Erewhon,5,0.1465,0.0
claude,R3,13,Hermes,5,0.0567,0.0259
claude,R3,13,IKEA,5,0.0823,0.0
claude,R3,13,Patagonia,5,0.0769,0.0
claude,R3,13,Tesla,5,0.1324,0.0
claude,R4,8,Erewhon,5,0.1449,0.0032
claude,R4,8,Hermes,5,0.0554,0.0
claude,R4,8,IKEA,5,0.0714,0.0
claude,R4,8,Patagonia,5,0.116,0.0
claude,R4,8,Tesla,5,0.2727,0.0
claude,R5,3,Erewhon,5,0.8283,0.0
claude,R5,3,Hermes,5,0.8651,0.0069
claude,R5,3,IKEA,5,0.8393,0.0
claude,R5,3,Patagonia,5,0.8376,0.0
claude,R5,3,Tesla,5,0.8068,0.0
dashscope_qwen_plus,R1,26,Erewhon,3,0.119,0.0055
