model,rate_condition,rate_bits,mean_distortion,fitted_distortion,residual
cerebras_qwen3,R1,26,0.1002,0.0907,0.0095
cerebras_qwen3,R2,19,0.0867,0.0972,-0.0105
cerebras_qwen3,R3,13,0.1135,0.1141,-0.0006
cerebras_qwen3,R4,8,0.1728,0.1711,0.0017
cerebras_qwen3,R5,3,0.8339,0.834,-0.0001
claude,R1,26,0.1593,0.0965,0.0628
claude,R2,19,0.0794,0.1013,-0.0219
claude,R3,13,0.099,0.1148,-0.0158
claude,R4,8,0.1321,0.1639,-0.0318
claude,R5,3,0.8354,0.8288,0.0066
dashscope_qwen_plus,R1,26,0.1399,0.1012,0.0387
dashscope_qwen_plus,R2,19,0.0831,0.1123,-0.0292
dashscope_qwen_plus,R3,13,0.1122,0.1379,-0.0257
dashscope_qwen_plus,R4,8,0.2295,0.2125,0.017
dashscope_qwen_plus,R5,3,0.8651,0.8659,-0.0008
deepseek,R1,26,0.1479,0.1003,0.0476
deepseek,R2,19,0.0872,0.1056,-0.0184
deepseek,R3,13,0.0946,0.1201,-0.0255
deepseek,R4,8,0.1655,0.1721,-0.0066
deepseek,R5,3,0.861,0.8581,0.0029
fireworks_glm,R1,26,0.2233,0.1178,0.1055
fireworks_glm,R2,19,0.0989,0.1226,-0.0237
fireworks_glm,R3,13,0.0975,0.1359,-0.0384
fireworks_glm,R4,8,0.1295,0.1848,-0.0553
fireworks_glm,R5,3,0.86,0.8481,0.0119
gemini,R1,26,0.155,0.1031,0.0519
gemini,R2,19,0.0802,0.1115,-0.0313
gemini,R3,13,0.0884,0.1323,-0.0439
gemini,R4,8,0.2214,0.1971,0.0243
gemini,R5,3,0.8432,0.8442,-0.001
gemma4_local,R1,26,0.1798,0.1216,0.0582
gemma4_local,R2,19,0.0914,0.1301,-0.0387
gemma4_local,R3,13,0.1066,0.1508,-0.0442
gemma4_local,R4,8,0.2406,0.2148,0.0258
gemma4_local,R5,3,0.8416,0.8427,-0.0011
gigachat_api,R1,26,0.1888,0.125,0.0638
gigachat_api,R2,19,0.0907,0.1302,-0.0395
gigachat_api,R3,13,0.1188,0.1445,-0.0257
gigachat_api,R4,8,0.1951,0.196,-0.0009
gigachat_api,R5,3,0.8808,0.8785,0.0023
gpt,R1,26,0.202,0.1084,0.0936
gpt,R2,19,0.0783,0.1137,-0.0354
gpt,R3,13,0.1009,0.1284,-0.0275
gpt,R4,8,0.141,0.1809,-0.0399
gpt,R5,3,0.8795,0.8703,0.0092
gptoss_swallow,R1,26,0.1622,0.1192,0.043
gptoss_swallow,R2,19,0.0844,0.1242,-0.0398
gptoss_swallow,R3,13,0.1298,0.138,-0.0082
gptoss_swallow,R4,8,0.1929,0.1882,0.0047
gptoss_swallow,R5,3,0.8608,0.8605,0.0003
grok,R1,26,0.1449,0.1022,0.0427
grok,R2,19,0.0774,0.1087,-0.0313
grok,R3,13,0.0996,0.1257,-0.0261
grok,R4,8,0.1976,0.1823,0.0153
grok,R5,3,0.8329,0.8335,-0.0006
groq_allam,R1,26,0.2576,0.1508,0.1068
groq_allam,R2,19,0.1229,0.1551,-0.0322
groq_allam,R3,13,0.1514,0.1672,-0.0158
groq_allam,R4,8,0.1403,0.2121,-0.0718
groq_allam,R5,3,0.8592,0.8462,0.013
groq_kimi,R1,26,0.1601,0.1025,0.0576
groq_kimi,R2,19,0.0779,0.1076,-0.0297
groq_kimi,R3,13,0.1065,0.1219,-0.0154
groq_kimi,R4,8,0.1564,0.1732,-0.0168
groq_kimi,R5,3,0.8587,0.8544,0.0043
groq_llama33,R1,26,0.1624,0.1053,0.0571
groq_llama33,R2,19,0.0737,0.1106,-0.0369
groq_llama33,R3,13,0.1025,0.1253,-0.0228
groq_llama33,R4,8,0.1788,0.178,0.0008
groq_llama33,R5,3,0.8703,0.8685,0.0018
sambanova_deepseek,R1,26,0.1495,0.1084,0.0411
sambanova_deepseek,R2,19,0.087,0.1176,-0.0306
sambanova_deepseek,R3,13,0.1132,0.1399,-0.0267
sambanova_deepseek,R4,8,0.2247,0.2078,0.0169
sambanova_deepseek,R5,3,0.859,0.8597,-0.0007
sarvam,R1,26,0.1871,0.1273,0.0598
sarvam,R2,19,0.0929,0.1321,-0.0392
sarvam,R3,13,0.1132,0.1455,-0.0323
sarvam,R4,8,0.2055,0.1944,0.0111
sarvam,R5,3,0.8585,0.858,0.0005
yandexgpt_pro,R1,26,0.1975,0.1237,0.0738
yandexgpt_pro,R2,19,0.0952,0.1287,-0.0335
yandexgpt_pro,R3,13,0.1327,0.1425,-0.0098
yandexgpt_pro,R4,8,0.1545,0.1928,-0.0383
yandexgpt_pro,R5,3,0.8736,0.8659,0.0077
