brand,rate_condition,rate_bits,mean_distortion,std_distortion,n
Hermes,R1,26,0.1441,0.0434,67
Hermes,R2,19,0.0622,0.0282,63
Hermes,R3,13,0.0725,0.0258,65
Hermes,R4,8,0.0887,0.0422,64
Hermes,R5,3,0.8601,0.0069,62
IKEA,R1,26,0.1667,0.0543,70
IKEA,R2,19,0.0571,0.0138,65
IKEA,R3,13,0.0958,0.0306,64
IKEA,R4,8,0.1794,0.0960,62
IKEA,R5,3,0.8503,0.0180,63
Patagonia,R1,26,0.1651,0.0539,73
Patagonia,R2,19,0.0547,0.0123,64
Patagonia,R3,13,0.0825,0.0162,64
Patagonia,R4,8,0.1332,0.0596,63
Patagonia,R5,3,0.8376,0.0000,64
Tesla,R1,26,0.1766,0.0469,72
Tesla,R2,19,0.1381,0.0170,65
Tesla,R3,13,0.1390,0.0240,65
Tesla,R4,8,0.2911,0.0825,62
Tesla,R5,3,0.8820,0.0607,63
Erewhon,R1,26,0.1838,0.0505,64
Erewhon,R2,19,0.1177,0.0306,65
Erewhon,R3,13,0.1522,0.0373,65
Erewhon,R4,8,0.2028,0.0752,63
Erewhon,R5,3,0.8499,0.0327,64
