portfolio,brand,model,solo_dci,port_dci,delta_dci,cosine
Geely,Geely Auto,claude,9.32,12.0,2.69,0.9916
Geely,Geely Auto,deepseek,7.91,8.17,0.26,0.9833
Geely,Geely Auto,exaone,7.0,6.67,-0.33,0.9945
Geely,Geely Auto,gemini25flash,5.19,8.93,3.73,0.9954
Geely,Geely Auto,gemma4,6.62,5.07,-1.55,0.9965
Geely,Geely Auto,gpt4omini,7.04,7.28,0.23,0.9963
Geely,Geely Auto,grok,7.58,7.14,-0.43,0.9994
Geely,Geely Auto,mistral,9.51,7.69,-1.82,0.9967
Geely,Geely Auto,qwen3,7.69,8.02,0.34,0.9994
Geely,Geely Auto,sarvam,6.54,7.14,0.6,0.986
Geely,Geely Auto,swallow,4.17,5.48,1.31,0.999
Geely,Geely Auto,yandex,8.03,8.84,0.81,0.997
Geely,Polestar,claude,7.39,8.91,1.52,0.9954
Geely,Polestar,deepseek,10.69,10.83,0.14,0.9961
Geely,Polestar,exaone,7.88,7.88,0.0,0.9995
Geely,Polestar,gemini25flash,7.01,8.18,1.17,0.9986
Geely,Polestar,gemma4,8.18,8.65,0.47,0.9984
Geely,Polestar,gpt4omini,9.42,8.51,-0.9,0.9967
Geely,Polestar,grok,6.17,6.17,0.0,1.0
Geely,Polestar,mistral,8.33,7.28,-1.05,0.9994
Geely,Polestar,qwen3,9.87,8.93,-0.94,0.9994
Geely,Polestar,sarvam,5.54,5.84,0.31,0.9984
Geely,Polestar,swallow,8.53,7.92,-0.61,0.9968
Geely,Polestar,yandex,9.26,8.33,-0.93,0.9993
Geely,Volvo,claude,5.3,5.3,0.0,1.0
Geely,Volvo,deepseek,6.25,6.81,0.56,0.996
Geely,Volvo,exaone,6.05,7.14,1.09,0.9957
Geely,Volvo,gemini25flash,5.11,5.31,0.19,0.9998
Geely,Volvo,gemma4,7.4,7.58,0.18,0.9992
Geely,Volvo,gpt4omini,5.67,5.25,-0.43,0.9999
Geely,Volvo,grok,4.59,4.24,-0.35,0.9995
Geely,Volvo,mistral,5.31,5.11,-0.19,0.999
Geely,Volvo,qwen3,8.82,6.82,-2.01,0.997
Geely,Volvo,sarvam,5.86,4.92,-0.94,0.9991
Geely,Volvo,swallow,7.12,6.33,-0.79,0.9991
Geely,Volvo,yandex,7.14,7.59,0.45,0.9974
L'Oreal,L'Oreal Paris,claude,5.52,4.61,-0.91,0.9985
L'Oreal,L'Oreal Paris,deepseek,6.62,6.62,0.0,1.0
L'Oreal,L'Oreal Paris,exaone,5.25,5.25,0.0,0.9949
L'Oreal,L'Oreal Paris,gemini25flash,4.91,5.36,0.44,0.9983
L'Oreal,L'Oreal Paris,gemma4,4.47,5.2,0.73,0.997
L'Oreal,L'Oreal Paris,gpt4omini,5.03,3.89,-1.14,0.9983
L'Oreal,L'Oreal Paris,grok,3.2,3.21,0.02,0.9987
L'Oreal,L'Oreal Paris,llama,4.63,4.89,0.26,0.9984
L'Oreal,L'Oreal Paris,mistral,5.03,5.85,0.82,0.9996
L'Oreal,L'Oreal Paris,qwen3,5.75,5.56,-0.19,0.9982
L'Oreal,L'Oreal Paris,sarvam,3.82,4.17,0.34,0.999
L'Oreal,L'Oreal Paris,swallow,5.26,5.33,0.06,0.9983
L'Oreal,L'Oreal Paris,yandex,4.7,4.59,-0.11,0.9989
L'Oreal,Lancome,claude,4.89,6.14,1.25,0.9975
L'Oreal,Lancome,deepseek,5.56,5.56,0.0,1.0
L'Oreal,Lancome,exaone,3.4,3.12,-0.27,0.9998
L'Oreal,Lancome,gemini25flash,4.53,4.71,0.18,0.9999
L'Oreal,Lancome,gemma4,4.44,3.96,-0.47,0.9995
L'Oreal,Lancome,gpt4omini,6.65,6.65,0.0,0.999
L'Oreal,Lancome,grok,4.24,3.93,-0.3,0.9996
L'Oreal,Lancome,llama,5.56,5.56,0.0,1.0
L'Oreal,Lancome,mistral,4.89,5.25,0.36,0.9991
L'Oreal,Lancome,qwen3,6.36,6.62,0.26,0.9999
L'Oreal,Lancome,sarvam,3.49,3.01,-0.48,0.9988
L'Oreal,Lancome,swallow,4.12,3.91,-0.21,0.9997
L'Oreal,Lancome,yandex,5.56,5.56,0.0,1.0
L'Oreal,Maybelline,claude,6.47,6.34,-0.13,0.9985
L'Oreal,Maybelline,deepseek,7.3,7.5,0.2,0.9978
L'Oreal,Maybelline,exaone,6.11,7.04,0.93,0.9988
L'Oreal,Maybelline,gemini25flash,6.36,4.67,-1.69,0.9985
L'Oreal,Maybelline,gemma4,7.02,7.05,0.03,0.9976
L'Oreal,Maybelline,gpt4omini,5.24,4.84,-0.4,0.9954
L'Oreal,Maybelline,grok,2.65,2.33,-0.32,0.9991
L'Oreal,Maybelline,mistral,5.01,4.02,-0.99,0.9978
L'Oreal,Maybelline,qwen3,9.38,9.08,-0.29,0.9975
L'Oreal,Maybelline,sarvam,6.34,4.71,-1.63,0.992
L'Oreal,Maybelline,swallow,7.69,6.64,-1.05,0.9992
L'Oreal,Maybelline,yandex,5.96,6.21,0.25,0.9997
LVMH,Dior,claude,2.24,2.24,0.0,1.0
LVMH,Dior,deepseek,2.24,2.24,0.0,1.0
LVMH,Dior,exaone,4.89,4.17,-0.72,0.9996
LVMH,Dior,gemini25flash,2.24,2.24,0.0,1.0
LVMH,Dior,gemma4,2.08,2.32,0.24,0.9998
LVMH,Dior,gpt4omini,6.18,6.56,0.38,0.9999
LVMH,Dior,grok,1.6,4.34,2.74,0.9983
LVMH,Dior,llama,3.95,3.95,0.0,1.0
LVMH,Dior,mistral,2.24,2.24,0.0,1.0
LVMH,Dior,qwen3,5.07,2.6,-2.46,0.9978
LVMH,Dior,sarvam,0.44,4.71,4.27,0.9955
LVMH,Dior,swallow,3.51,3.84,0.32,0.9986
LVMH,Dior,yandex,5.07,5.07,0.0,1.0
LVMH,Fendi,claude,6.82,7.14,0.32,0.9999
LVMH,Fendi,deepseek,4.34,5.07,0.72,0.9996
LVMH,Fendi,exaone,4.71,5.36,0.64,0.9968
LVMH,Fendi,gemini25flash,4.34,4.7,0.36,0.9999
LVMH,Fendi,gemma4,3.72,4.44,0.72,0.9988
LVMH,Fendi,gpt4omini,6.94,6.57,-0.37,0.9983
LVMH,Fendi,grok,4.14,4.19,0.05,0.9993
LVMH,Fendi,llama,6.01,4.26,-1.75,0.9975
LVMH,Fendi,mistral,4.7,5.07,0.36,0.9994
LVMH,Fendi,qwen3,6.94,6.94,0.0,1.0
LVMH,Fendi,sarvam,4.35,5.1,0.76,0.9982
LVMH,Fendi,swallow,6.04,5.1,-0.94,0.9987
LVMH,Fendi,yandex,5.07,4.95,-0.12,0.9991
LVMH,Louis Vuitton,claude,5.43,6.18,0.75,0.9996
LVMH,Louis Vuitton,deepseek,2.24,2.24,0.0,1.0
LVMH,Louis Vuitton,exaone,4.35,4.7,0.36,0.9996
LVMH,Louis Vuitton,gemini25flash,3.84,3.99,0.15,0.9995
LVMH,Louis Vuitton,gemma4,4.7,3.64,-1.07,0.9991
LVMH,Louis Vuitton,gpt4omini,5.87,6.94,1.07,0.9995
LVMH,Louis Vuitton,grok,1.02,2.42,1.4,0.9991
LVMH,Louis Vuitton,llama,3.95,7.72,3.78,0.9911
LVMH,Louis Vuitton,mistral,3.95,2.24,-1.7,0.9976
LVMH,Louis Vuitton,qwen3,5.81,6.18,0.38,0.9999
LVMH,Louis Vuitton,sarvam,2.32,2.72,0.4,0.9999
LVMH,Louis Vuitton,swallow,4.57,3.03,-1.54,0.9991
LVMH,Louis Vuitton,yandex,5.07,5.07,0.0,1.0
P&G,Gillette,claude,6.13,7.5,1.37,0.9986
P&G,Gillette,deepseek,6.62,5.3,-1.31,0.997
P&G,Gillette,exaone,6.85,6.46,-0.39,0.9987
P&G,Gillette,gemini25flash,6.25,6.4,0.15,0.9979
P&G,Gillette,gemma4,6.89,4.83,-2.05,0.9946
P&G,Gillette,gpt4omini,4.87,5.36,0.48,0.9993
P&G,Gillette,grok,4.52,4.17,-0.35,0.9998
P&G,Gillette,llama,6.48,6.4,-0.07,0.9998
P&G,Gillette,mistral,6.62,6.1,-0.51,0.9995
P&G,Gillette,qwen3,5.49,6.25,0.76,0.9928
P&G,Gillette,sarvam,5.62,4.47,-1.15,0.9962
