portfolio,brand,portfolio_type,predicted,solo_dci_mean,solo_dci_sd,port_dci_mean,port_dci_sd,delta_dci,t_stat,p_value,cohens_d,cosine_similarity,euclidean_distance,jsd,solo_entropy_mean,port_entropy_mean,n_solo,n_portfolio
Geely,Geely Auto,reverse_aspiration,downward_suppression,7.97,1.76,8.51,2.15,0.54,1.488,0.1394,0.273,0.9991,0.399,0.00036,2.97,2.968,58,61
Geely,Polestar,reverse_aspiration,downward_suppression,8.57,1.75,8.49,1.56,-0.08,-0.27,0.7878,-0.047,0.9998,0.238,7e-05,2.961,2.962,65,65
Geely,Volvo,reverse_aspiration,downward_suppression,6.5,1.29,6.21,1.21,-0.28,-1.299,0.1962,-0.228,0.9999,0.206,5e-05,2.981,2.984,65,65
L'Oreal,L'Oreal Paris,prestige_spread,gradient_flattening,5.61,1.28,5.46,1.07,-0.15,-0.747,0.4563,-0.132,0.9998,0.263,8e-05,2.987,2.987,65,64
L'Oreal,Lancome,prestige_spread,gradient_flattening,5.36,1.1,5.41,1.16,0.05,0.276,0.7832,0.049,1.0,0.117,0.0,2.989,2.988,65,64
L'Oreal,Maybelline,prestige_spread,gradient_flattening,6.64,1.83,6.55,1.92,-0.1,-0.292,0.7706,-0.051,0.9997,0.27,0.00011,2.981,2.981,65,65
LVMH,Dior,spectral_cluster,constructive,3.45,1.96,3.8,1.59,0.35,1.127,0.2617,0.198,0.9999,0.178,3e-05,2.994,2.993,65,65
LVMH,Fendi,spectral_cluster,constructive,5.69,1.56,5.78,1.08,0.09,0.384,0.702,0.067,0.9998,0.335,7e-05,2.987,2.988,65,65
LVMH,Louis Vuitton,spectral_cluster,constructive,4.36,1.95,4.71,2.37,0.34,0.904,0.3677,0.159,0.9999,0.217,5e-05,2.991,2.988,65,65
P&G,Gillette,spectral_spread,negligible,6.42,1.31,6.27,1.1,-0.15,-0.714,0.4766,-0.125,0.9999,0.213,2e-05,2.982,2.982,65,65
P&G,Pampers,spectral_spread,negligible,6.47,1.15,6.18,1.46,-0.29,-1.267,0.2074,-0.222,0.9995,0.372,0.00018,2.982,2.983,65,65
P&G,Tide,spectral_spread,negligible,7.43,2.25,7.22,1.96,-0.2,-0.554,0.5803,-0.097,0.9998,0.263,9e-05,2.974,2.976,65,65
Toyota,Lexus,spectral_layer,aspirational,5.22,0.99,5.82,1.29,0.59,2.937,0.0039,0.515,0.9995,0.413,0.00019,2.989,2.984,65,65
Toyota,Toyota,spectral_layer,aspirational,6.76,1.19,6.39,1.32,-0.37,-1.69,0.0934,-0.296,0.9999,0.2,5e-05,2.98,2.981,65,65
Unilever,Axe,spectral_contradiction,destructive,8.63,1.78,8.67,2.0,0.04,0.115,0.9087,0.02,0.9998,0.194,6e-05,2.965,2.966,65,65
Unilever,Ben & Jerry's,spectral_contradiction,destructive,6.43,0.84,6.39,1.13,-0.04,-0.243,0.8086,-0.043,0.9999,0.167,4e-05,2.982,2.982,65,65
Unilever,Dove,spectral_contradiction,destructive,5.6,1.32,5.89,1.49,0.3,1.196,0.2341,0.21,0.9998,0.212,6e-05,2.985,2.985,65,65
Yandex,Yandex,branded_house,shared_identity,6.56,1.53,6.55,1.63,-0.01,-0.03,0.9763,-0.005,0.9999,0.194,6e-05,2.982,2.98,60,60
Yandex,Yandex Market,branded_house,shared_identity,8.23,2.15,8.44,2.03,0.21,0.537,0.5921,0.099,0.9995,0.445,0.00021,2.973,2.971,59,59
Yandex,Yandex Taxi,branded_house,shared_identity,8.88,2.36,8.52,2.15,-0.36,-0.874,0.3837,-0.16,0.9996,0.289,0.00017,2.969,2.97,59,61
