portfolio,brand,dimension,delta,t_stat,p_value,cohens_d,fdr_significant
LVMH,Dior,semiotic,0.0,,,0.0,False
LVMH,Dior,narrative,-0.2,-2.036,0.0444,-0.407,False
LVMH,Dior,ideological,-0.12,-1.63,0.1063,-0.326,False
LVMH,Dior,experiential,0.02,1.0,0.3198,0.2,False
LVMH,Dior,social,0.0,,,0.0,False
LVMH,Dior,economic,-0.1,-0.75,0.455,-0.15,False
LVMH,Dior,cultural,0.02,0.277,0.7821,0.055,False
LVMH,Dior,temporal,0.0,,,0.0,False
LVMH,Fendi,semiotic,-0.1,-2.333,0.0217,-0.467,False
LVMH,Fendi,narrative,-0.02,-0.447,0.6557,-0.089,False
LVMH,Fendi,ideological,-0.04,-0.464,0.6436,-0.093,False
LVMH,Fendi,experiential,-0.06,-1.376,0.172,-0.275,False
LVMH,Fendi,social,-0.02,-0.581,0.5624,-0.116,False
LVMH,Fendi,economic,0.08,0.525,0.6005,0.105,False
LVMH,Fendi,cultural,-0.22,-2.244,0.0271,-0.449,False
LVMH,Fendi,temporal,-0.2,-2.463,0.0155,-0.493,False
LVMH,Louis Vuitton,semiotic,0.0,,,0.0,False
LVMH,Louis Vuitton,narrative,0.04,0.408,0.684,0.082,False
LVMH,Louis Vuitton,ideological,-0.1,-0.972,0.3335,-0.194,False
LVMH,Louis Vuitton,experiential,0.0,,,0.0,False
LVMH,Louis Vuitton,social,0.0,,,0.0,False
LVMH,Louis Vuitton,economic,-0.22,-1.311,0.1929,-0.262,False
LVMH,Louis Vuitton,cultural,-0.06,-0.656,0.5134,-0.131,False
LVMH,Louis Vuitton,temporal,0.0,,,0.0,False
P&G,Gillette,semiotic,-0.12,-1.367,0.1748,-0.273,False
P&G,Gillette,narrative,-0.04,-0.452,0.6524,-0.09,False
P&G,Gillette,ideological,-0.08,-0.844,0.4006,-0.169,False
P&G,Gillette,experiential,-0.06,-0.556,0.5793,-0.111,False
P&G,Gillette,social,-0.06,-0.44,0.6611,-0.088,False
P&G,Gillette,economic,-0.04,-0.408,0.684,-0.082,False
P&G,Gillette,cultural,-0.1,-0.966,0.3365,-0.193,False
P&G,Gillette,temporal,-0.12,-2.201,0.0301,-0.44,False
P&G,Pampers,semiotic,-0.1,-1.043,0.2993,-0.209,False
P&G,Pampers,narrative,-0.02,-0.223,0.8243,-0.045,False
P&G,Pampers,ideological,-0.06,-0.504,0.6151,-0.101,False
P&G,Pampers,experiential,0.06,0.578,0.5647,0.116,False
P&G,Pampers,social,-0.06,-0.535,0.5939,-0.107,False
P&G,Pampers,economic,0.12,1.212,0.2283,0.242,False
P&G,Pampers,cultural,0.3,2.293,0.024,0.459,False
P&G,Pampers,temporal,-0.14,-1.407,0.1626,-0.281,False
P&G,Tide,semiotic,-0.04,-0.572,0.5689,-0.114,False
P&G,Tide,narrative,0.02,0.178,0.859,0.036,False
